2023/06/12 20:52:38 VMs 1, executed 0, corpus cover 2229, corpus signal 2449, max signal 0, crashes 0, repro 0
2023/06/12 20:52:48 VMs 1, executed 411, corpus cover 4487, corpus signal 5061, max signal 9973, crashes 0, repro 0
2023/06/12 20:52:58 VMs 1, executed 1042, corpus cover 7492, corpus signal 8746, max signal 16939, crashes 0, repro 0
2023/06/12 20:53:08 VMs 1, executed 2135, corpus cover 9025, corpus signal 11517, max signal 17496, crashes 0, repro 0
2023/06/12 20:53:18 VMs 1, executed 2135, corpus cover 9420, corpus signal 12088, max signal 17496, crashes 0, repro 0
2023/06/12 20:53:28 VMs 1, executed 3385, corpus cover 11134, corpus signal 14389, max signal 18703, crashes 0, repro 0
2023/06/12 20:53:38 VMs 1, executed 4390, corpus cover 11895, corpus signal 14501, max signal 19981, crashes 0, repro 0
2023/06/12 20:53:48 VMs 1, executed 4531, corpus cover 11952, corpus signal 14588, max signal 20359, crashes 0, repro 0
2023/06/12 20:53:58 VMs 1, executed 4672, corpus cover 12099, corpus signal 14654, max signal 20408, crashes 0, repro 0
2023/06/12 20:54:08 VMs 1, executed 4796, corpus cover 12120, corpus signal 14710, max signal 20419, crashes 0, repro 0
2023/06/12 20:54:18 VMs 1, executed 4918, corpus cover 12127, corpus signal 14726, max signal 20424, crashes 0, repro 0
2023/06/12 20:54:28 VMs 1, executed 4918, corpus cover 12326, corpus signal 14974, max signal 20424, crashes 0, repro 0
2023/06/12 20:54:38 VMs 1, executed 5051, corpus cover 12334, corpus signal 15062, max signal 20443, crashes 0, repro 0
2023/06/12 20:54:48 VMs 1, executed 5233, corpus cover 12420, corpus signal 15263, max signal 20454, crashes 0, repro 0
2023/06/12 20:54:58 VMs 1, executed 5388, corpus cover 12930, corpus signal 15906, max signal 20473, crashes 0, repro 0
2023/06/12 20:55:08 VMs 1, executed 5515, corpus cover 12986, corpus signal 15979, max signal 20479, crashes 0, repro 0
2023/06/12 20:55:18 VMs 1, executed 6129, corpus cover 13381, corpus signal 16652, max signal 20521, crashes 0, repro 0
2023/06/12 20:55:28 VMs 1, executed 6129, corpus cover 13605, corpus signal 16874, max signal 20521, crashes 0, repro 0
