2023/06/07 00:07:14 VMs 1, executed 0, corpus cover 1832, corpus signal 2061, max signal 0, crashes 0, repro 0
2023/06/07 00:07:24 VMs 1, executed 751, corpus cover 4707, corpus signal 5341, max signal 6788, crashes 0, repro 0
2023/06/07 00:07:34 VMs 1, executed 2376, corpus cover 6306, corpus signal 7436, max signal 9459, crashes 0, repro 0
2023/06/07 00:07:44 VMs 1, executed 3368, corpus cover 8909, corpus signal 11345, max signal 14261, crashes 0, repro 0
2023/06/07 00:07:54 VMs 1, executed 3368, corpus cover 8935, corpus signal 11413, max signal 14261, crashes 0, repro 0
2023/06/07 00:08:04 VMs 1, executed 3786, corpus cover 8975, corpus signal 11465, max signal 14899, crashes 0, repro 0
2023/06/07 00:08:14 VMs 1, executed 3894, corpus cover 8980, corpus signal 11483, max signal 14943, crashes 0, repro 0
2023/06/07 00:08:24 VMs 1, executed 3970, corpus cover 9224, corpus signal 11772, max signal 14970, crashes 0, repro 0
2023/06/07 00:08:34 VMs 1, executed 4054, corpus cover 9429, corpus signal 12027, max signal 14979, crashes 0, repro 0
2023/06/07 00:08:44 VMs 1, executed 4182, corpus cover 9609, corpus signal 12249, max signal 14993, crashes 0, repro 0
2023/06/07 00:08:54 VMs 1, executed 4182, corpus cover 9612, corpus signal 12264, max signal 14993, crashes 0, repro 0
2023/06/07 00:09:04 VMs 1, executed 4275, corpus cover 9737, corpus signal 12386, max signal 14999, crashes 0, repro 0
2023/06/07 00:09:14 VMs 1, executed 4399, corpus cover 10194, corpus signal 12950, max signal 15009, crashes 0, repro 0
2023/06/07 00:09:24 VMs 1, executed 4526, corpus cover 10205, corpus signal 12968, max signal 15037, crashes 0, repro 0
2023/06/07 00:09:34 VMs 1, executed 4654, corpus cover 10279, corpus signal 13070, max signal 15084, crashes 0, repro 0
2023/06/07 00:09:44 VMs 1, executed 4790, corpus cover 10283, corpus signal 13082, max signal 15108, crashes 0, repro 0
2023/06/07 00:09:54 VMs 1, executed 4908, corpus cover 10339, corpus signal 13144, max signal 15112, crashes 0, repro 0
2023/06/07 00:10:04 VMs 1, executed 4908, corpus cover 10362, corpus signal 13186, max signal 15112, crashes 0, repro 0
2023/06/07 00:10:14 VMs 1, executed 5028, corpus cover 10362, corpus signal 13186, max signal 16104, crashes 0, repro 0
2023/06/07 00:10:24 VMs 1, executed 5158, corpus cover 10370, corpus signal 14187, max signal 16125, crashes 0, repro 0
2023/06/07 00:10:34 VMs 1, executed 5279, corpus cover 10949, corpus signal 14343, max signal 16133, crashes 0, repro 0
2023/06/07 00:10:44 VMs 1, executed 6170, corpus cover 11886, corpus signal 15575, max signal 16281, crashes 0, repro 0
2023/06/07 00:10:54 VMs 1, executed 6170, corpus cover 12245, corpus signal 16161, max signal 16281, crashes 0, repro 0
2023/06/07 00:11:04 VMs 1, executed 6891, corpus cover 12382, corpus signal 16307, max signal 17603, crashes 0, repro 0
2023/06/07 00:11:14 VMs 1, executed 7029, corpus cover 12728, corpus signal 16836, max signal 17615, crashes 0, repro 0
2023/06/07 00:11:24 VMs 1, executed 7848, corpus cover 13042, corpus signal 17220, max signal 19302, crashes 0, repro 0
2023/06/07 00:11:34 VMs 1, executed 8254, corpus cover 13155, corpus signal 17364, max signal 21270, crashes 0, repro 0
