2023/03/29 20:38:44 VMs 1, executed 0, corpus cover 0, corpus signal 0, max signal 0, crashes 0, repro 0
2023/03/29 20:38:54 VMs 1, executed 11, corpus cover 1672, corpus signal 29, max signal 12350, crashes 0, repro 0
2023/03/29 20:39:04 VMs 1, executed 468, corpus cover 3839, corpus signal 4062, max signal 12857, crashes 0, repro 0
2023/03/29 20:39:14 VMs 1, executed 1003, corpus cover 5816, corpus signal 6505, max signal 13125, crashes 0, repro 0
2023/03/29 20:39:24 VMs 1, executed 1003, corpus cover 6445, corpus signal 7467, max signal 13125, crashes 0, repro 0
2023/03/29 20:39:34 VMs 1, executed 1712, corpus cover 6634, corpus signal 7947, max signal 13186, crashes 0, repro 0
2023/03/29 20:39:44 VMs 1, executed 2203, corpus cover 7769, corpus signal 10288, max signal 14518, crashes 0, repro 0
2023/03/29 20:39:54 VMs 1, executed 3377, corpus cover 7864, corpus signal 10540, max signal 15342, crashes 0, repro 0
2023/03/29 20:40:04 VMs 1, executed 3982, corpus cover 8394, corpus signal 11199, max signal 15449, crashes 0, repro 0
2023/03/29 20:40:14 VMs 1, executed 4474, corpus cover 8518, corpus signal 11518, max signal 15547, crashes 0, repro 0
2023/03/29 20:40:24 VMs 1, executed 4474, corpus cover 10277, corpus signal 13648, max signal 15547, crashes 0, repro 0
2023/03/29 20:40:34 VMs 1, executed 5424, corpus cover 11061, corpus signal 14133, max signal 17284, crashes 0, repro 0
2023/03/29 20:40:44 VMs 1, executed 6355, corpus cover 11332, corpus signal 14397, max signal 17397, crashes 0, repro 0
2023/03/29 20:40:54 VMs 1, executed 6934, corpus cover 11474, corpus signal 14592, max signal 17489, crashes 0, repro 0
2023/03/29 20:41:04 VMs 1, executed 7536, corpus cover 12266, corpus signal 15559, max signal 17677, crashes 0, repro 0
2023/03/29 20:41:14 VMs 1, executed 8122, corpus cover 12324, corpus signal 15679, max signal 17750, crashes 0, repro 0
2023/03/29 20:41:24 VMs 1, executed 8122, corpus cover 12539, corpus signal 15885, max signal 17750, crashes 0, repro 0
2023/03/29 20:41:34 VMs 1, executed 8848, corpus cover 12866, corpus signal 16290, max signal 17815, crashes 0, repro 0
2023/03/29 20:41:44 VMs 1, executed 9352, corpus cover 12951, corpus signal 16415, max signal 17918, crashes 0, repro 0
2023/03/29 20:41:54 VMs 1, executed 9867, corpus cover 13083, corpus signal 16627, max signal 18070, crashes 0, repro 0
2023/03/29 20:42:04 VMs 1, executed 10509, corpus cover 13312, corpus signal 16975, max signal 19380, crashes 0, repro 0
2023/03/29 20:42:14 VMs 1, executed 10691, corpus cover 13342, corpus signal 17009, max signal 19461, crashes 0, repro 0
2023/03/29 20:42:24 VMs 1, executed 10691, corpus cover 13458, corpus signal 17116, max signal 19461, crashes 0, repro 0
2023/03/29 20:42:34 VMs 1, executed 10813, corpus cover 13527, corpus signal 17271, max signal 19477, crashes 0, repro 0
2023/03/29 20:42:44 VMs 1, executed 10928, corpus cover 14089, corpus signal 17980, max signal 19499, crashes 0, repro 0
2023/03/29 20:42:54 VMs 1, executed 11633, corpus cover 14195, corpus signal 18129, max signal 19856, crashes 0, repro 0
2023/03/29 20:43:04 VMs 1, executed 12012, corpus cover 14366, corpus signal 18360, max signal 21564, crashes 0, repro 0
2023/03/29 20:43:14 VMs 1, executed 12143, corpus cover 14405, corpus signal 18408, max signal 21585, crashes 0, repro 0
2023/03/29 20:43:24 VMs 1, executed 12143, corpus cover 14479, corpus signal 18493, max signal 21585, crashes 0, repro 0
2023/03/29 20:43:34 VMs 1, executed 12275, corpus cover 14486, corpus signal 18522, max signal 21742, crashes 0, repro 0
2023/03/29 20:43:44 VMs 1, executed 12397, corpus cover 14763, corpus signal 18887, max signal 21792, crashes 0, repro 0
2023/03/29 20:43:54 VMs 1, executed 12989, corpus cover 15424, corpus signal 19916, max signal 22281, crashes 0, repro 0
2023/03/29 20:44:04 VMs 1, executed 13448, corpus cover 15549, corpus signal 20109, max signal 22329, crashes 0, repro 0
2023/03/29 20:44:14 VMs 1, executed 14446, corpus cover 15943, corpus signal 20690, max signal 22458, crashes 0, repro 0
2023/03/29 20:44:24 VMs 1, executed 14446, corpus cover 16035, corpus signal 20966, max signal 22458, crashes 0, repro 0
2023/03/29 20:44:34 VMs 1, executed 15062, corpus cover 16162, corpus signal 21134, max signal 25633, crashes 0, repro 0
2023/03/29 20:44:44 VMs 1, executed 15494, corpus cover 16765, corpus signal 21945, max signal 26767, crashes 0, repro 0
2023/03/29 20:44:54 VMs 1, executed 16343, corpus cover 17205, corpus signal 22588, max signal 26942, crashes 0, repro 0
2023/03/29 20:45:04 VMs 1, executed 17230, corpus cover 17447, corpus signal 22929, max signal 27038, crashes 0, repro 0
2023/03/29 20:45:14 VMs 1, executed 17575, corpus cover 18515, corpus signal 24503, max signal 27478, crashes 0, repro 0
2023/03/29 20:45:24 VMs 1, executed 17575, corpus cover 18518, corpus signal 24511, max signal 27478, crashes 0, repro 0
