2023/03/28 17:46:52 VMs 0, executed 165300, corpus cover 48624, corpus signal 68158, max signal 75712, crashes 4, repro 1
2023/03/28 17:47:02 VMs 0, executed 165300, corpus cover 48624, corpus signal 68158, max signal 75712, crashes 4, repro 1
2023/03/28 17:47:12 VMs 0, executed 165300, corpus cover 48624, corpus signal 68158, max signal 75712, crashes 4, repro 1
2023/03/28 17:47:22 VMs 0, executed 165300, corpus cover 48624, corpus signal 68158, max signal 75712, crashes 4, repro 1
2023/03/28 17:47:27 reproducing crash 'no output/lost connection': failed to extract reproducer
2023/03/28 17:47:32 VMs 0, executed 165300, corpus cover 48624, corpus signal 68158, max signal 75712, crashes 4, repro 1
2023/03/28 17:47:42 VMs 0, executed 165300, corpus cover 48624, corpus signal 68158, max signal 75712, crashes 4, repro 0
2023/03/28 17:47:52 VMs 1, executed 165300, corpus cover 48624, corpus signal 68158, max signal 75712, crashes 4, repro 0
2023/03/28 17:48:02 VMs 1, executed 165300, corpus cover 48624, corpus signal 68158, max signal 75712, crashes 4, repro 0
2023/03/28 17:48:12 VMs 1, executed 165343, corpus cover 48632, corpus signal 68171, max signal 75731, crashes 4, repro 0
2023/03/28 17:48:22 VMs 1, executed 165838, corpus cover 48683, corpus signal 68256, max signal 75831, crashes 4, repro 0
2023/03/28 17:48:32 VMs 1, executed 166404, corpus cover 48685, corpus signal 68260, max signal 75845, crashes 4, repro 0
2023/03/28 17:48:42 VMs 1, executed 166873, corpus cover 48698, corpus signal 68308, max signal 75914, crashes 4, repro 0
2023/03/28 17:48:52 VMs 1, executed 167221, corpus cover 48706, corpus signal 68324, max signal 75954, crashes 4, repro 0
2023/03/28 17:49:02 VMs 1, executed 167221, corpus cover 48711, corpus signal 68337, max signal 75954, crashes 4, repro 0
2023/03/28 17:49:12 VMs 1, executed 167370, corpus cover 48725, corpus signal 68361, max signal 75964, crashes 4, repro 0
2023/03/28 17:49:22 VMs 1, executed 167511, corpus cover 48725, corpus signal 68362, max signal 75972, crashes 4, repro 0
2023/03/28 17:49:32 VMs 1, executed 167640, corpus cover 48725, corpus signal 68362, max signal 76044, crashes 4, repro 0
2023/03/28 17:49:42 VMs 1, executed 167795, corpus cover 48725, corpus signal 68362, max signal 76057, crashes 4, repro 0
2023/03/28 17:49:52 VMs 1, executed 167945, corpus cover 48774, corpus signal 68421, max signal 76064, crashes 4, repro 0
2023/03/28 17:50:02 VMs 1, executed 167945, corpus cover 48784, corpus signal 68447, max signal 76064, crashes 4, repro 0
2023/03/28 17:50:12 VMs 1, executed 168233, corpus cover 48790, corpus signal 68464, max signal 76088, crashes 4, repro 0
2023/03/28 17:50:22 VMs 1, executed 168390, corpus cover 48805, corpus signal 68492, max signal 76102, crashes 4, repro 0
2023/03/28 17:50:32 VMs 1, executed 168834, corpus cover 48812, corpus signal 68504, max signal 76170, crashes 4, repro 0
2023/03/28 17:50:42 VMs 1, executed 169229, corpus cover 48858, corpus signal 68579, max signal 76220, crashes 4, repro 0
2023/03/28 17:50:52 VMs 1, executed 169629, corpus cover 48859, corpus signal 68581, max signal 76243, crashes 4, repro 0
2023/03/28 17:51:02 VMs 1, executed 169629, corpus cover 48866, corpus signal 68602, max signal 76243, crashes 4, repro 0
2023/03/28 17:51:12 VMs 1, executed 170084, corpus cover 48870, corpus signal 68612, max signal 76272, crashes 4, repro 0
2023/03/28 17:51:22 VMs 1, executed 170652, corpus cover 48906, corpus signal 68675, max signal 76350, crashes 4, repro 0
2023/03/28 17:51:32 VMs 1, executed 171098, corpus cover 48928, corpus signal 68711, max signal 76384, crashes 4, repro 0
2023/03/28 17:51:42 VMs 1, executed 171517, corpus cover 48937, corpus signal 68726, max signal 76432, crashes 4, repro 0
2023/03/28 17:51:52 VMs 1, executed 171864, corpus cover 48962, corpus signal 68767, max signal 76473, crashes 4, repro 0
2023/03/28 17:52:02 VMs 1, executed 171864, corpus cover 48969, corpus signal 68784, max signal 76473, crashes 4, repro 0
2023/03/28 17:52:12 VMs 1, executed 172198, corpus cover 49005, corpus signal 68822, max signal 76495, crashes 4, repro 0
2023/03/28 17:52:22 VMs 1, executed 172538, corpus cover 49005, corpus signal 68823, max signal 76534, crashes 4, repro 0
2023/03/28 17:52:32 VMs 1, executed 172820, corpus cover 49056, corpus signal 68893, max signal 76581, crashes 4, repro 0
2023/03/28 17:52:42 VMs 1, executed 173144, corpus cover 49077, corpus signal 68925, max signal 76592, crashes 4, repro 0
2023/03/28 17:52:52 VMs 1, executed 173569, corpus cover 49077, corpus signal 68927, max signal 76638, crashes 4, repro 0
2023/03/28 17:53:02 VMs 1, executed 173569, corpus cover 49104, corpus signal 68969, max signal 76638, crashes 4, repro 0
2023/03/28 17:53:12 VMs 1, executed 174079, corpus cover 49105, corpus signal 68971, max signal 76673, crashes 4, repro 0
2023/03/28 17:53:22 VMs 1, executed 174569, corpus cover 49157, corpus signal 69015, max signal 76754, crashes 4, repro 0
2023/03/28 17:53:32 VMs 1, executed 174883, corpus cover 49162, corpus signal 69025, max signal 76780, crashes 4, repro 0
2023/03/28 17:53:42 VMs 1, executed 175080, corpus cover 49170, corpus signal 69043, max signal 76789, crashes 4, repro 0
2023/03/28 17:53:52 VMs 1, executed 175410, corpus cover 49172, corpus signal 69046, max signal 76845, crashes 4, repro 0
2023/03/28 17:54:02 VMs 1, executed 175410, corpus cover 49221, corpus signal 69118, max signal 76845, crashes 4, repro 0
2023/03/28 17:54:12 VMs 1, executed 175967, corpus cover 49223, corpus signal 69130, max signal 76874, crashes 4, repro 0
2023/03/28 17:54:22 VMs 1, executed 176444, corpus cover 49234, corpus signal 69147, max signal 76900, crashes 4, repro 0
2023/03/28 17:54:32 VMs 1, executed 176860, corpus cover 49265, corpus signal 69194, max signal 76975, crashes 4, repro 0
2023/03/28 17:54:42 VMs 1, executed 176867, corpus cover 49265, corpus signal 69194, max signal 76975, crashes 4, repro 0
2023/03/28 17:54:52 VMs 1, executed 176867, corpus cover 49265, corpus signal 69194, max signal 76975, crashes 4, repro 0
2023/03/28 17:54:54 vm-0: crash: lost connection to test machine
2023/03/28 17:55:02 VMs 0, executed 176867, corpus cover 49265, corpus signal 69194, max signal 76975, crashes 5, repro 0
2023/03/28 17:55:12 VMs 1, executed 176867, corpus cover 49265, corpus signal 69194, max signal 76975, crashes 5, repro 0
2023/03/28 17:55:22 VMs 1, executed 176926, corpus cover 49265, corpus signal 69195, max signal 77060, crashes 5, repro 0
2023/03/28 17:55:32 VMs 1, executed 177562, corpus cover 49309, corpus signal 69257, max signal 77101, crashes 5, repro 0
2023/03/28 17:55:42 VMs 1, executed 177562, corpus cover 49310, corpus signal 69259, max signal 77101, crashes 5, repro 0
2023/03/28 17:55:52 VMs 1, executed 177944, corpus cover 49371, corpus signal 69360, max signal 77212, crashes 5, repro 0
2023/03/28 17:56:02 VMs 1, executed 178591, corpus cover 49385, corpus signal 69389, max signal 77232, crashes 5, repro 0
2023/03/28 17:56:12 VMs 1, executed 179123, corpus cover 49404, corpus signal 69420, max signal 77248, crashes 5, repro 0
2023/03/28 17:56:22 VMs 1, executed 179473, corpus cover 49441, corpus signal 69468, max signal 77430, crashes 5, repro 0
2023/03/28 17:56:32 VMs 1, executed 179611, corpus cover 49463, corpus signal 69497, max signal 77439, crashes 5, repro 0
2023/03/28 17:56:42 VMs 1, executed 179611, corpus cover 49465, corpus signal 69500, max signal 77439, crashes 5, repro 0
2023/03/28 17:56:52 VMs 1, executed 179737, corpus cover 49532, corpus signal 69593, max signal 77451, crashes 5, repro 0
2023/03/28 17:57:02 VMs 1, executed 180367, corpus cover 49561, corpus signal 69635, max signal 77517, crashes 5, repro 0
2023/03/28 17:57:12 VMs 1, executed 180541, corpus cover 49569, corpus signal 69649, max signal 77518, crashes 5, repro 0
2023/03/28 17:57:22 VMs 1, executed 180749, corpus cover 49569, corpus signal 69649, max signal 77547, crashes 5, repro 0
2023/03/28 17:57:32 VMs 1, executed 180969, corpus cover 49574, corpus signal 69657, max signal 77561, crashes 5, repro 0
