2023/03/23 12:56:30 VMs 1, executed 311, cover 11394, signal 13865/15276, crashes 0, repro 0
2023/03/23 12:56:40 VMs 1, executed 318, cover 11394, signal 13865/15295, crashes 0, repro 0
2023/03/23 12:56:50 VMs 1, executed 318, cover 11394, signal 13865/15295, crashes 0, repro 0
2023/03/23 12:57:00 VMs 1, executed 318, cover 11394, signal 13865/15295, crashes 0, repro 0
2023/03/23 12:57:10 VMs 1, executed 318, cover 11394, signal 13865/15295, crashes 0, repro 0
2023/03/23 12:57:20 VMs 1, executed 318, cover 11510, signal 13999/15295, crashes 0, repro 0
2023/03/23 12:57:30 VMs 1, executed 327, cover 11510, signal 13999/15572, crashes 0, repro 0
2023/03/23 12:57:40 VMs 1, executed 327, cover 11510, signal 13999/15572, crashes 0, repro 0
2023/03/23 12:57:50 VMs 1, executed 327, cover 11510, signal 13999/15572, crashes 0, repro 0
2023/03/23 12:58:00 VMs 1, executed 327, cover 11510, signal 13999/15572, crashes 0, repro 0
2023/03/23 12:58:10 VMs 1, executed 327, cover 11510, signal 13999/15572, crashes 0, repro 0
2023/03/23 12:58:20 VMs 1, executed 338, cover 11510, signal 13999/15572, crashes 0, repro 0
2023/03/23 12:58:30 VMs 1, executed 338, cover 11510, signal 13999/15572, crashes 0, repro 0
2023/03/23 12:58:40 VMs 1, executed 338, cover 11510, signal 13999/15572, crashes 0, repro 0
2023/03/23 12:58:50 VMs 1, executed 338, cover 11510, signal 13999/15572, crashes 0, repro 0
2023/03/23 12:59:00 VMs 1, executed 338, cover 11510, signal 13999/15572, crashes 0, repro 0
2023/03/23 12:59:10 VMs 1, executed 338, cover 11510, signal 13999/15572, crashes 0, repro 0
2023/03/23 12:59:20 VMs 1, executed 348, cover 11510, signal 13999/15572, crashes 0, repro 0
2023/03/23 12:59:30 VMs 1, executed 348, cover 11510, signal 13999/15572, crashes 0, repro 0
2023/03/23 12:59:40 VMs 1, executed 348, cover 11510, signal 13999/15572, crashes 0, repro 0
2023/03/23 12:59:50 VMs 1, executed 348, cover 11510, signal 13999/15572, crashes 0, repro 0
2023/03/23 13:00:00 VMs 1, executed 360, cover 11525, signal 14023/15589, crashes 0, repro 0
2023/03/23 13:00:10 VMs 1, executed 360, cover 11525, signal 14023/15589, crashes 0, repro 0
